Sum,Average,Milliliters
99,1.65,490.9
104,1.733333333,484.3
101,1.683333333,489.2
100,1.666666667,488.8
93,1.55,485.7
284,4.733333333,748.7
277,4.616666667,741
298,4.966666667,764.2
292,4.866666667,759.5
282,4.7,766.3
633,10.55,1446.5
627,10.45,1443.5
621,10.35,1456
621,10.35,1457.6
615,10.25,1448.5
902,15.03333333,2141.5
912,15.2,2163.8
909,15.15,2168.5
915,15.25,2186.1
914,15.23333333,2165.7
1239,20.65,2680.8
1220,20.33333333,2631
1222,20.36666667,2626.8
1211,20.18333333,2625
1222,20.36666667,2646.2
1546,25.76666667,3360.5
1514,25.23333333,3292.4
1524,25.4,3319.8
1547,25.78333333,3359.5
1478,24.63333333,3186
1829,30.48333333,3932
1831,30.51666667,3917.8
1833,30.55,3920.9
1817,30.28333333,3860
1824,30.4,3897
2175,36.25,4763
2180,36.33333333,4647
2179,36.31666667,4658.4
2157,35.95,4593.5
2178,36.3,4637.7
2465,41.08333333,5221
2404,40.06666667,5102.5
2449,40.81666667,5111.1
2460,41,5199
2500,41.66666667,5255
2818,46.96666667,5920.3
2857,47.61666667,6056.5
2843,47.38333333,5914
2724,45.4,5716.8
2836,47.26666667,5938.6
3089,51.48333333,6540.6
2994,49.9,6267
3037,50.61666667,6356.2
3038,50.63333333,6392.4
3054,50.9,6397
3319,55.31666667,6940.8
3335,55.58333333,6943.9
3305,55.08333333,6938.1
3329,55.48333333,7043.4
3315,55.25,6931.8
3568,59.46666667,7431.4
3686,61.43333333,7697.6
3700,61.66666667,7731.1
3681,61.35,7690.8
3611,60.18333333,7551.2
3921,65.35,8199
3997,66.61666667,8357.6
4007,66.78333333,8347
4021,67.01666667,8389.2
4025,67.08333333,8395
4189,69.81666667,8744
4121,68.68333333,8568.1
4098,68.3,8515.4
4217,70.28333333,8849.6
4229,70.48333333,8745.7
4617,76.95,9635.1
4533,75.55,9442.2
4528,75.46666667,9406.2
4683,78.05,9851.8
4697,78.28333333,9726.6
4833,80.55,10056.5
4737,78.95,9811.3
4884,81.4,10173.3
4956,82.6,10348.5
4918,81.96666667,10233
5129,85.48333333,10702
5110,85.16666667,10514.3
5213,86.88333333,10933.4
5146,85.76666667,10790.8
5169,86.15,10703
5511,91.85,11642
5439,90.65,11412
5441,90.68333333,11232.5
5411,90.18333333,11242
5489,91.48333333,11393
